id	sector	region	north	centre	south_isl	rel_weight	age	group	individual_first_shr	foreign_first_shr	decentr_manag	employees	RD_empl_share	grad_empl_share	labour_flex	age_ceo	female_ceo	fam_ceo	prod_inn	proc_inn	patent	RD_inv	direct_export	dir_export_share	dir_export_eu	dir_export_outside_eu	import_goods	import_share_goods	import_goods_china_india	deloc_fdi	deloc_fdi_share	deloc_fdi_china_india	qual_cert	competitors_from_abroad	widened_prod_range	increase_margins	external_financing	local_bank	national_bank	foreign_bank	banks_number	credit_requested	credit_denied	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage	tfp_va	dimensione	areageo	sector2
8155	24	3	1	0	0	1.113938	53	0	1	0	0	33	20	0	1	4	0	1	1	0	0	1	1	20	1	1	1	21	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	5019	8294	2388	519	.097629	.1034071	.0625754	.3141026	3.217308	-.0544602	1	0	4
8959	15	3	1	0	0	1.051953	49	0	1	0	0	25	0	0	1	4	0	1	1	0	0	0	1	80	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	3181	3534	946	43	-.0172902	.0135178	.0121675	-.1024209	5.92365	-.6590309	1	0	1
7477	28	3	1	0	0	.9462538	54	0	1	0	0	25	0	0	1	3	0	1	0	0	1	0	1	80	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	6	0	0	4904	3765	1497	392	.0689233	.0799347	.1041169	.2826087	4.100335	-.0983663	1	0	7
9659	28	3	1	0	0	.9462538	28	0	1	0	0	18	0	0	1	4	1	1	0	1	0	1	1	85	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	3	0	0	4436	1791	631	-75	-.0214157	-.0169071	-.041876	-.0464321	2.168133	-.6318889	1	0	7
7208	14	3	1	0	0	1.125092	23	0	1	0	0	30	0	0	1	5	1	1	0	0	1	0	1	8	1	1	1	2	1	0	0	0	0	1	1	0	1	1	1	0	6	1	0	5565	6459	1400	376	.0208446	.0675651	.0582133	.4894515	23.48101	-.3535844	1	0	1
7492	24	3	1	0	0	.2865382	39	1	0	0	0	500	0	0	1	4	0	1	0	1	1	1	1	75	1	1	1	6	0	0	0	0	1	0	1	0	1	1	1	0	10	0	0	180339	197748	46641	2873	.0057891	.0159311	.0145286	.0127697	2.20582	.2876287	2	0	4
8191	17	3	1	0	0	1.125092	34	0	1	0	0	18	0	0	1	6	0	1	0	1	0	0	1	10	1	1	1	7.5	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	4705	2934	1036	379	.0828905	.0805526	.1291752	.1125541	1.357864	.06978	1	0	2
8147	13	3	1	0	0	1.125092	58	0	1	0	0	11	0	0	1	5	0	1	0	1	0	0	1	3	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	5	1	0	1263	496	405	71	.0245447	.0562154	.1431452	.2246377	9.152174	-.364518	0	0	1
8011	25	3	1	0	0	1.113938	23	0	0	0	0	35	0	0	1	4	0	1	0	1	0	1	1	67	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	3818	6965	1724	165	.0395495	.0432163	.0236899	.1263598	3.194979		1	0	4
8195	24	3	1	0	0	1.113938	60	0	1	0	0	14	0	0	0	3	0	1	1	1	1	1	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	3	0	0	2208	1802	430	61	.0348732	.0276268	.0338513	.0990991	2.841699	-.8701353	0	0	4
8230	25	3	1	0	0	.6736162	29	0	1	0	0	60	0	0	1	4	0	1	0	1	1	0	1	95	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	3	0	0	8371	9822	3037	31	-.0262812	.0037033	.0031562	-.2150538	8.182796	.0074476	1	0	4
7733	25	3	1	0	0	.6736162	40	0	0	0	0	82	0	0	0	5	0	0	1	1	0	1	1	15	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	8	0	0	18526	17143	5948	1573	.081669	.0849077	.0917576	.137608	1.684948	.2672192	1	0	4
8289	22	3	1	0	0	.8698483	20	0	1	0	0	70	0	0	1	6	0	1	1	1	0	1	1	45	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	3	0	0	7803	17105	3089	607	.0711265	.0777906	.0354867	.2194543	3.085409	.1007031	1	0	3
7523	28	3	1	0	0	.9462538	13	1	0	0	1	17	0	0	0	3	0	0	1	0	0	1	1	90	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	6	1	1	5654	2183	324	-788	-.1910152	-.1393704	-.3609712	1.656442	-8.671779	-1.435333	1	0	7
8171	13	3	1	0	0	.3101063	39	1	0	0	1	420	0	0	1	3	0	0	1	0	1	1	1	50	1	1	1	6	0	0	0	0	0	0	1	0	0	1	1	0	6	0	0	67342	52535	19600	-3178	-.0563393	-.0471919	-.060493	-.1060162	1.881745	.2623588	2	0	1
7488	20	3	1	0	0	.5223962	30	1	1	0	1	140	0	0	1	4	0	1	1	1	1	1	1	90	1	1	1	.6	0	1	.02	0	1	1	1	0	1	1	1	0	8	0	0	53656	33791	22394	2063	.1860743	.0384486	.0610518	.375	2.015325	.9919075	2	0	3
8001	18	3	1	0	0	1.125092	41	0	1	0	0	15	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	0	0	2191	2051	718	78	.0182565	.0356002	.0380302	.0411523	2.254115	-.354134	0	0	2
9690	25	3	1	0	0	1.113938	43	0	1	0	0	38	0	0	0	4	1	1	0	0	0	0	1	30	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	4	1	1	6404	4649	1299	-161	-.0509057	-.0251405	-.0346311	-.14798	2.906945	-.5599158	1	0	4
7242	13	3	1	0	0	1.125092	13	0	1	0	0	20	0	0	1	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	3	0	0	1518	3754	852	91	.0434783	.0599473	.0242408	.5454546	12.54545	-.1852944	1	0	1
9620	26	3	1	0	0	1.051953	131	0	1	0	0	20	0	0	1	5	0	1	1	1	1	1	1	50	1	1	1	12.5	1	0	0	0	1	1	1	0	0	0	1	0	10	0	0	2442	2708	929	200	.031122	.0819001	.0738552	.1273032	4.090452	-.1413808	1	0	5
9632	14	3	1	0	0	1.125092	43	0	1	0	0	33	0	0	1	7	0	1	1	0	0	0	1	95	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	9187	4965	1079	-298	-.0457168	-.0324371	-.0600201	-.0751476	1.643764	-.733812	1	0	1
8251	24	3	1	0	0	.2865382	107	1	0	1	0	470	0	0	1	4	0	0	1	1	0	1	1	28	1	1	1	6	0	0	0	0	1	1	0	0	1	1	1	1	10	0	0	320603	444105	70385	31219	.083424	.0973759	.0702964	.1910824	2.290496		2	0	4
